customer_id,application_date,is_now_account,received_bonus,redeemed_bonus,initial_deposit,retained_60_days
1,2025-04-13,True,True,True,1049.2601055707842,True
2,2025-02-21,False,False,False,1013.8747186196505,True
3,2025-04-03,True,True,False,1697.4608836040131,True
4,2025-01-15,False,False,False,915.8980877972259,True
5,2025-04-17,True,True,True,1291.9273917441362,False
6,2025-03-13,True,True,True,1726.7800151322942,True
7,2025-03-02,True,False,False,1348.0229684647293,False
8,2025-01-21,False,False,False,968.9950668749419,True
9,2025-04-13,True,True,True,1490.3816194679703,False
10,2025-03-24,False,False,False,1067.0362858417047,False
11,2025-03-28,False,False,False,992.9568768433662,True
12,2025-03-16,True,True,True,1475.8958071787197,True
13,2025-03-16,False,False,False,973.9537872136129,True
14,2025-03-29,True,True,True,958.5829687084773,True
15,2025-04-27,False,False,False,323.07583049499647,False
16,2025-04-10,True,True,True,2981.106932210272,False
17,2025-04-14,False,False,False,632.0859184730539,False
18,2025-01-24,False,False,False,862.3349572282688,True
19,2025-01-03,False,False,False,151.09530882776062,True
20,2025-01-22,False,False,False,1169.6985131695524,True
21,2025-02-22,False,False,False,777.9291968515114,False
22,2025-01-02,False,False,False,850.0568973932782,True
23,2025-03-29,True,True,True,2409.079418337894,True
24,2025-04-18,False,False,False,408.75975517203767,False
25,2025-01-30,False,False,False,1018.6174794116189,True
26,2025-02-07,False,False,False,1194.4739630102224,False
27,2025-01-02,False,False,False,1052.2604027077214,True
28,2025-03-05,False,False,False,881.844839163063,False
29,2025-03-01,True,True,False,1870.4523165255634,False
30,2025-01-21,False,False,False,977.352288566099,True
31,2025-02-02,False,False,False,1227.5607220315292,True
32,2025-03-17,True,True,True,1019.8735377905191,False
33,2025-02-27,False,False,False,876.7499720283499,False
34,2025-01-22,False,False,False,1069.458349090142,True
35,2025-04-18,False,False,False,799.7251308823149,False
36,2025-03-30,True,True,True,1966.996111576893,False
37,2025-02-18,False,False,False,1138.037287491451,False
38,2025-04-01,True,True,True,1362.9918430904515,True
39,2025-02-28,False,False,False,1155.7050941922037,False
40,2025-02-11,False,False,False,1000.9578545179158,True
41,2025-04-02,True,True,True,1014.666116308613,True
42,2025-03-01,True,True,True,1630.1313649554857,True
43,2025-03-21,True,False,False,1779.2422603896166,False
44,2025-01-15,False,False,False,826.6253422082717,True
45,2025-03-03,True,False,False,1648.7243026119745,True
46,2025-03-03,True,True,True,1695.658883105268,True
47,2025-02-16,False,False,False,1080.6519170675344,True
48,2025-03-03,False,False,False,921.8130606585291,False
49,2025-02-20,False,False,False,1079.8964725904093,True
50,2025-04-18,False,False,False,982.5098613210783,True
51,2025-02-24,False,False,False,754.5993249040553,True
52,2025-04-26,False,False,False,1328.135579058233,True
53,2025-03-05,False,False,False,733.849345328499,True
54,2025-05-01,True,False,False,1656.4066583718493,True
55,2025-01-03,False,False,False,490.48604210648045,False
56,2025-04-11,True,True,False,870.8157028475584,True
57,2025-02-20,False,False,False,1458.7558370412103,True
58,2025-01-07,False,False,False,917.3654603905572,True
59,2025-01-21,False,False,False,1028.9418463402628,False
60,2025-03-14,True,True,True,1613.296063088999,True
61,2025-02-08,False,False,False,957.1530856121752,False
62,2025-01-18,False,False,False,1077.7018477769952,True
63,2025-01-04,False,False,False,1181.3916653648666,True
64,2025-03-30,False,False,False,586.0922056201298,True
65,2025-03-01,True,True,True,1566.816596594367,True
66,2025-01-14,False,False,False,1038.9612001795444,True
67,2025-04-24,True,True,True,1293.7369637313584,True
68,2025-01-09,False,False,False,1410.9413635577775,True
69,2025-03-31,True,False,False,894.5629834411658,True
70,2025-02-22,False,False,False,1182.245068005042,True
71,2025-01-02,False,False,False,1395.9989345559018,False
72,2025-03-25,False,False,False,1216.9737941251592,True
73,2025-04-02,True,False,False,2416.9019296818906,False
74,2025-04-21,False,False,False,510.3269231813895,True
75,2025-03-01,False,False,False,795.6364294986806,True
76,2025-03-12,False,False,False,804.3288000782545,True
77,2025-02-13,False,False,False,1185.6364930408376,False
78,2025-01-08,False,False,False,1024.2683274945146,True
79,2025-02-16,False,False,False,530.3580513057524,True
80,2025-02-04,False,False,False,1259.5396273479948,True
81,2025-03-19,True,True,False,1202.939905727549,True
82,2025-03-22,True,False,False,1311.998421468513,True
83,2025-02-05,False,False,False,661.0216955739786,True
84,2025-02-19,False,False,False,1096.4710697958035,False
85,2025-04-14,True,True,True,1809.4638067976189,True
86,2025-01-04,False,False,False,1581.7554102137974,False
87,2025-01-02,False,False,False,1009.1732644040729,True
88,2025-01-06,False,False,False,888.9440641824168,True
89,2025-02-23,False,False,False,833.7355141939468,False
90,2025-04-16,False,False,False,1100.2105386869475,False
91,2025-01-04,False,False,False,1154.6842902356289,True
92,2025-02-23,False,False,False,505.5828989803849,True
93,2025-04-03,True,True,True,1716.4432473202244,True
94,2025-03-04,True,True,True,982.201012610037,True
95,2025-01-18,False,False,False,1416.6473242434963,False
96,2025-03-31,True,True,True,2043.330413925491,True
97,2025-02-13,False,False,False,970.1757132052594,True
98,2025-02-03,False,False,False,1257.072117455299,True
99,2025-03-15,False,False,False,827.2649711970973,True
100,2025-03-03,True,True,True,2201.290708521534,False
101,2025-04-10,True,True,False,1790.2098782336793,False
102,2025-01-14,False,False,False,778.2688750292391,False
103,2025-04-05,False,False,False,1058.9406253087782,False
104,2025-02-17,False,False,False,727.6729937576897,False
105,2025-01-15,False,False,False,803.3184079461637,True
106,2025-03-13,True,True,True,1759.7444370740063,True
107,2025-03-19,True,True,True,1358.6953662543872,True
108,2025-03-28,False,False,False,1154.1305003205314,True
109,2025-05-01,True,True,False,573.6452325673606,False
110,2025-03-03,True,True,True,2379.502309006444,True
111,2025-02-09,False,False,False,1010.3945310279059,True
112,2025-03-26,False,False,False,885.2516019810912,False
113,2025-03-21,True,True,True,841.1007337902997,True
114,2025-04-19,True,True,True,1836.4474331495726,False
115,2025-03-23,True,True,True,1764.6050219555173,False
116,2025-04-21,False,False,False,1119.8347426588323,False
117,2025-02-22,False,False,False,1661.435682736345,True
118,2025-01-24,False,False,False,847.0636459388547,True
119,2025-01-26,False,False,False,1044.9517161444064,True
120,2025-03-30,True,True,True,1625.7108037023233,True
121,2025-03-01,True,True,False,1476.8992644455172,False
122,2025-04-19,True,True,True,1288.0261689626052,True
123,2025-02-10,False,False,False,761.7805808970619,False
124,2025-01-29,False,False,False,1614.3306371760361,False
125,2025-01-15,False,False,False,937.7886379191293,True
126,2025-02-14,False,False,False,786.8979289992715,False
127,2025-03-06,True,True,True,982.5544906554413,False
128,2025-03-30,True,True,True,1996.8448381503188,False
129,2025-03-12,True,True,True,1791.013676808634,True
130,2025-01-09,False,False,False,1573.1271521121776,True
131,2025-03-29,True,False,False,1845.592079188621,False
132,2025-01-01,False,False,False,1515.7107500907691,True
133,2025-04-18,True,True,True,1460.2510270657003,True
134,2025-01-08,False,False,False,769.4497140100768,True
135,2025-03-29,False,False,False,798.5068635592143,True
136,2025-03-04,False,False,False,1014.1667564550181,True
137,2025-01-11,False,False,False,940.0968094430607,True
138,2025-04-25,False,False,False,1512.7165549970746,True
139,2025-03-22,True,True,False,1872.40552459838,True
140,2025-01-08,False,False,False,1073.3976488993223,False
